Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Panel2.RAdsOption1Descrioption,No ads for 1 month ,Tanpa iklan selama 1 bulan,1个月无广告,1個月無廣告,1ヶ月間広告なし,1개월간 광고 없음,Nessuna pubblicità per 1 mese,Sin anuncios durante 1 mes,Pas de publicités pendant 1 mois,Keine Werbung für 1 Monat,Không quảng cáo trong 1 tháng,Sem anúncios por 1 mês,Walang ads sa loob ng 1 buwan,بدون إعلانات لمدة شهر واحد,1 மாதம் விளம்பரமில்லை,Без рекламы на 1 месяц,ไม่มีโฆษณา 1 เดือน,Geen advertenties voor 1 maand,1 महीने तक कोई विज्ञापन नहीं,1 ay boyunca reklam yok
Panel2.RAdsOption2Descrioption,No ads for 3 month ,Tanpa iklan selama 3 bulan,3个月无广告,3個月無廣告,3ヶ月間広告なし,3개월간 광고 없음,Nessuna pubblicità per 3 mesi,Sin anuncios durante 3 meses,Pas de publicités pendant 3 mois,Keine Werbung für 3 Monate,Không quảng cáo trong 3 tháng,Sem anúncios por 3 meses,Walang ads sa loob ng 3 buwan,بدون إعلانات لمدة 3 أشهر,3 மாதம் விளம்பரமில்லை,Без рекламы на 3 месяца,ไม่มีโฆษณา 3 เดือน,Geen advertenties voor 3 maand,3 महीने तक कोई विज्ञापन नहीं,3 ay boyunca reklam yok
Panel.UnlockLightningTitle,New Booster,Booster Baru,新的超能力,新的超能力,新しいブースター,새로운 부스터,Nuovo Potenziamento,Nuevo potenciador,Nouveau Booster,Neuer Booster,Bộ tăng lực mới,Novo impulsionador,Bagong booster,معزز جديد,புதிய பூஸ்டர்,Новый бустер,บูสเตอร์ใหม่,Nieuwe booster,नया बूस्टर,Yeni Booster
Panel.UnlockLightningBody,Use this booster to destroy 2 planks,Gunakan booster ini untuk menghancurkan 2 Plank,用这个超能力摧毁 2 块木板,用這個超能力摧毀 2 塊木板,このブースターで板を2枚破壊しよう,이 부스터로 널빤지 2개를 파괴하세요,Usa questo potenziamento per distruggere 2 assi,Usa este potenciador para destruir 2 tablones,Utilisez ce booster pour détruire 2 planches,"Verwenden Sie diesen Booster, um 2 Bretter zu zerstören",Sử dụng bộ tăng lực này để phá hủy 2 tấm ván,Use este impulsionador para destruir 2 tábuas,Gamitin ito para sirain ang 2 planks,استخدم هذا المعزز لتدمير لوحين,2 பலகைகளை அழிக்க இந்த பூஸ்டரைப் பயன்படுத்தவும்,"Используйте этот бустер, чтобы уничтожить 2 доски",ใช้เพื่อทำลาย 2 แผ่นไม้,Gebruik deze booster om 2 planken te vernietigen.,दो तख्ते तोड़ने के लिए इसका इस्तेमाल करें,Bu güçlendiriciyi kullanarak 2 tahtayı yok edin
Panel.UnlockUndoTitle,New Booster,Booster Baru,新的超能力,新的超能力,新しいブースター,새로운 부스터,Nuovo Potenziamento,Nuevo potenciador,Nouveau Booster,Neuer Booster,Bộ tăng lực mới,Novo impulsionador,Bagong Booster,معزز جديد,புதிய பூஸ்டர்,Новый бустер,บูสเตอร์ใหม่,Nieuwe booster,नया बूस्टर,Yeni Booster
Panel.UnlockUndoBody,Use this booster to undo your move,Gunakan booster ini untuk membatalkan gerakan Anda,用这个超能力撤销你的操作,用這個超能力撤銷你的操作,ブースターで手を戻す！,이 부스터로 이전 동작을 취소하세요,Use this booster to undo your move,Usa este potenciador para deshacer tu movimiento,Utilisez ce booster pour annuler votre mouvement,"Verwenden Sie diesen Booster, um Ihren Zug rückgängig zu machen",Sử dụng bộ tăng lực này để hoàn tác nước đi của ngươi,Use este impulsionador para desfazer o seu movimento,Gamitin ang booster na ito para bawiin ang iyong galaw.,استخدم هذا المعزز للتراجع عن حركتك,உங்கள் நகர்வை செயல்தவிர்க்க இந்த பூஸ்டரைப் பயன்படுத்தவும்,"Используйте этот бустер, чтобы отменить свой ход",ใช้บูสเตอร์นี้เพื่อย้อนการเคลื่อนไหวของคุณ,Gebruik deze booster om je zet ongedaan te maken.,अपनी चाल वापस लेने के लिए इसका इस्तेमाल करें,Bu güçlendiriciyi kullanarak hamlenizi geri alın
Panel.UnlockUnscrewTitle,New Booster,Booster Baru,新的超能力,新的超能力,新しいブースター,새로운 부스터,Nuovo Potenziamento,Nuevo potenciador,Nouveau Booster,Neuer Booster,Bộ tăng lực mới,Novo impulsionador,Bagong Booster,معزز جديد,புதிய பூஸ்டர்,Новый бустер,บูสเตอร์ใหม่,Nieuwe booster,नया बूस्टर,Yeni Booster
Panel.UnlockUnscrewBody,Use this booster to remove a screw,Gunakan booster ini untuk Hilangkan 1 Sekrup,用这个超能力删除一个螺丝,用這個超能力刪除一個螺絲,ブースターでネジを外す,이 부스터로 나사 하나를 제거하세요,Usa questo potenziamento per rimuovere una vite,Usa este potenciador para quitar un tornillo,Utilisez ce booster pour enlever une vis,"Verwenden Sie diesen Booster, um eine Schraube zu entfernen",Sử dụng bộ tăng lực này để tháo một vít,Use este impulsionador para remover um parafuso,Gamitin ang booster na ito para tanggalin ang isang tornilyo.,استخدم هذا المعزز لإزالة برغي,ஒரு திருகை அகற்ற இந்த பூஸ்டரைப் பயன்படுத்தவும்,"Используйте этот бустер, чтобы удалить винт",ใช้บูสเตอร์นี้เพื่อถอดสกรู,Gebruik deze booster om een schroef te verwijderen.,पेंच हटाने के लिए इस्तेमाल करें,Bu güçlendiriciyi kullanarak bir vida çıkarın
Panel.UnlockFreezeTitle,New Booster,Booster Baru,新的超能力,新的超能力,新しいブースター,새로운 부스터,Nuovo Potenziamento,Nuevo potenciador,Nouveau Booster,Neuer Booster,Bộ tăng lực mới,Novo impulsionador,Bagong Booster,معزز جديد,புதிய பூஸ்டர்,Новый бустер,บูสเตอร์ใหม่,Nieuwe booster,नया बूस्टर,Yeni Booster
Panel.UnlockFreezeBody,Use this booster to freeze time,Gunakan booster ini untuk membekukan waktu,用这个超能力冻结时间,用這個超能力凍結時間,ブースターで時間停止,이 부스터로 시간을 멈추세요,Usa questo potenziamento per congelare il tempo,Usa este potenciador para congelar el tiempo,Utilisez ce booster pour congeler le temps,"Verwenden Sie diesen Booster, um die Zeit anzuhalten",Sử dụng bộ tăng lực này để đóng băng thời gian,Use este impulsionador para congelar o tempo,Gamitin ang booster na ito para ihinto ang oras.,استخدم هذا المعزز لتجميد الوقت,நேரத்தை உறைய வைக்க இந்த பூஸ்டரைப் பயன்படுத்தவும்,"Используйте этот бустер, чтобы заморозить время",ใช้บูสเตอร์นี้เพื่อหยุดเวลา,Gebruik deze booster om de tijd te bevriezen.,समय रोकने के लिए इस्तेमाल करें,Bu güçlendiriciyi kullanarak zamanı durdurun
Panel.GetSkillTitle,OUT OF POWER-UPS,POWER-UP HABIS,能量耗尽,能量耗盡,パワーアップ切れ,파워업 소진,Potenziamenti esauriti,SIN POTENCIADORES,SANS PUISSANCE,KEINE POWER-UPS MEHR,HẾT TĂNG LỰC,SEM IMPULSIONADORES,Wala nang power-ups,نفدت التعزيزات,பவர்-அப் தீர்ந்து விட்டது,Закончились бустеры!,หมดพลังเสริม,GEEN POWER-UPS MEER,पावर-अप ख़त्म,GÜÇLENDİRİCİLER BİTTİ
Panel.GetSkillBody1,ADD 1 LIGHTNING!,Tambahkan 1 petir!,添加1个闪电！,添加1個閃電！,雷を1つ追加!,번개 1개 추가!,AGGIUNGI 1 FULMINE!,¡AÑADIR 1 RELÁMPAGO!,AJOUTER 1 ÉCLAIR !,1 BLITZ HINZUFÜGEN!,THÊM 1 SÉT!,ADICIONE 1 RELÂMPAGO!,MAGDAGDAG NG 1 KIDLAT!,أضف 1 برق!,1 மின்னலைச் சேர்!,ДОБАВИТЬ 1 МОЛНИЮ!,เพิ่มสายฟ้า 1 เส้น!,VOEG 1 BLIKSEM TOE!,1 बिजली जोड़ें!,1 YILDIRIM EKLE!
Panel.GetSkillBody2,ADD 1 UNDO!,Tambahkan 1 Batalkan!,添加1次撤销！,添加1次撤銷！,元に戻すを1つ追加！,되돌리기 1개 추가!,AGGIUNGI 1 ANNULLA!,¡AÑADIR 1 DESHACER!,AJOUTER 1 ANNULER !,1 RÜCKGÄNGIG HINZUFÜGEN!,THÊM 1 HOÀN TÁC!,ADICIONE 1 DESFAZER!,MAGDAGDAG NG 1 UNDO!,أضف 1 تراجع!,"1 செயல்தவிர்!
",ДОБАВИТЬ 1 ОТМЕНУ!,เพิ่ม 1 การยกเลิก!,VOEG 1 ONGEDAAN-MAAK TOE!!,1 वापसी जोड़ें!,1 GERI ALMA EKLE!
Panel.GetSkillBody3,ADD 1 UNSCREW!,Tambahkan 1 Hilangkan,添加1次刪除螺丝,添加1次刪除螺絲,螺子外しを1つ追加!,나사 풀기 1개 추가!,AGGIUNGI 1 SVITA!,¡AÑADIR 1 DESATORNILLAR!,AJOUTER 1 DÉVISSEUR !,1 SCHRAUBE HINZUFÜGEN!,THÊM 1 THÁO ỐC!,ADICIONE 1 DESAPARAÇOAR!,"MAGDAGDAG NG 1, MAG-UNSCREW!",أضف 1 فك!,"1 திருகு நீக்கு!
",ДОБАВИТЬ 1 УДАЛЕНИЕ ВИНТА!,เพิ่ม 1 คลายเกลียว!,VOEG 1 LOSDRAAI TOE!,1 पेंच हटाना जोड़ें!,1 VİDA SÖKME EKLE!
Panel.GetSkillBody4,ADD 1 FREEZE!,Tambahkan 1 Beku!,添加1次冻结 !,添加1次凍結 !,フリーズを1つ追加！,시간 멈춤 1개 추가!,AGGIUNGI 1 CONGELA!,¡AÑADIR 1 CONGELAR!,AJOUTER 1 CONGÉLER !,1 EINFRIEREN HINZUFÜGEN!,THÊM 1 ĐÓNG BĂNG!,ADICIONE 1 CONGELAR!,MAGDAGDAG NG 1 FREEZE!,أضف 1 تجميد!,1 உறையச் சேர்!,ДОБАВИТЬ 1 ЗАМОРОЗКУ!,เพิ่ม 1 แช่แข็ง!,VOEG 1 BEVRIES TOE!,1 फ्रीज़ जोड़ें!,1 DONDURMA EKLE!
Panel.ConfirmAds,Are you sure you want to watch the ads?,Apakah Anda yakin ingin menonton iklan?,你确定要观看广告吗？,你確定要觀看廣告嗎？,本当に広告を見ますか？,광고를 보시겠습니까?,Sei sicuro di voler guardare la pubblicità?,¿Estás seguro de que quieres ver los anuncios?,Êtes-vous sûr de vouloir regarder les publicités ?,Möchten Sie wirklich Werbung sehen?,Ngươi có chắc muốn xem quảng cáo không?,Tem a certeza de que deseja ver os anúncios?,Sigurado ka bang gusto mong panoorin ang mga patalastas?,هل تريد مشاهدة الإعلانات؟,உங்களுக்கு 1 கூடுதல் விளம்பரங்களைப் பார்க்க விரும்புகிறீர்களா?,"Вы уверены, что хотите посмотреть рекламу?",คุณแน่ใจนะว่าจะดูโฆษณา?,Weet je zeker dat je de ads wilt bekijken?,क्या आप वाकई विज्ञापन देखना चाहते हैं?,Reklamları izlemek istediğinizden emin misiniz?
Panel.ConfirmAdsYes,YES,YA,是的,是的,はい,예,Sì,SÍ,OUI,JA,CÓ,SIM,OO,نعم,ஆம்,ДА,ใช่,JA,हाँ,EVET
Panel.ConfirmAdsNo,NO,TIDAK,不,不,いいえ,아니오,No,NO,NON,NEIN,KHÔNG,NÃO,HINDI,لا,இல்லை,НЕТ,ไม่,NEE,नहीं,HAYIR
Panel.GetHole,Do you want to add a hole?,Apakah Anda ingin menambahkan lubang?,您想添加一个洞吗？,您想添加一個洞嗎？,穴を開けますか？,구멍을 추가하시겠습니까?,Vuoi aprire un buco?,¿Quieres añadir un agujero?,Voulez-vous ajouter un trou ?,Möchten Sie ein Loch hinzufügen?,Ngươi có muốn mở một lỗ không?,Deseja adicionar um buraco?,Gusto mo bang magbukas ng butas?,هل تريد إضافة ثقب؟,நீங்கள் ஒரு துளை செய்ய விரும்புகிறீர்களா?,Хотите добавить отверстие?,คุณต้องการปลดล็อกรูไหม,Wil je een gat ontgrendelen?,क्या आप छेद जोड़ना चाहते हैं?,Bir delik eklemek ister misiniz?
Panel.PauseTittle,Paused,Terhenti,暂停,暫停,ポーズ,일시정지됨,Pausa,Pausado,En pause,Pausiert,Tạm dừng,Pausado,Nakapause,متوقف مؤقتًا,இடைநிறுத்தம்,На паузе,หยุดชั่วคราว,Pauze,रुका हुआ,Duraklatıldı
Panel.PauseDescription,Tap anywhere to continue,Ketuk di mana saja untuk melanjutkan,点击任意地方即可继续游戏,點擊任意地方即可繼續遊戲,どこでもタップして続ける,어디든 탭하여 계속하기,Tocca ovunque per continuare,Toca en cualquier lugar para continuar.,Touchez n'importe où pour continuer,"Tippen Sie auf eine beliebige Stelle, um fortzufahren.",Chạm vào bất cứ đâu để tiếp tục,Toque em qualquer lugar para continuar,Tap anywhere para magpatuloy,اضغط في أي مكان للمتابعة,தொடர தட்டவும்,"Нажмите в любом месте, чтобы продолжить",แตะที่ใดก็ได้เพื่อดำเนินการต่อ,Tik ergens om door te gaan,जारी रखने के लिए कहीं भी टैप करें,Devam etmek için herhangi bir yere dokunun
Panel.PauseRetry,RETRY,COBA LAGI,重试,重試,リトライ,다시 시도,RIPROVA,REINTENTAR,ESSAYER À NOUVEAU,WIEDERHOLEN,THỬ LẠI,RETRY,Ulitin,أعد المحاولة,மீண்டும்,ПОПРОБОВАТЬ СНОВА,ลองอีกครั้ง,OPNIEUW,फिर से,YENİDEN DENEYİN
Panel.PauseHome,BACK TO HOME,Ke beranda,返回主页,返回主页,ホームに戻る,홈으로 돌아가기,TORNA ALLA HOME,VOLVER A LA PÁGINA DE INICIO,RETOUR À L'ACCUEIL,ZURÜCK ZUR STARTSEITE,Quay về Trang Chủ,VOLTAR À PÁGINA INICIAL,Bumalík sa home,العودة إلى الصفحة الرئيسية,முகப்புக்கு திரும்பு,ВЕРНУТЬСЯ НА ГЛАВНУЮ,กลับหน้าหลัก,TERUG NAAR HOME,घर लौटें,ANA SAYFAYA DÖN
Panel.Ads,Ads,Iklan ,广告,廣告,広告,광고,Pubblicità,Anuncios,Annonces,Werbung,Quảng cáo,Anúncios,Ads,إعلانات,விளம்பரம்,Реклама,โฆษณา,Advertenties,विज्ञापन,Reklam
Panel.LockShop,Available after Shop Tutorial,Tersedia setelah Tutorial Toko,在商店教程后可用,在商店教程後可用,ショップ チュートリアル後に利用可能,상점 튜토리얼 완료 후 이용 가능,Disponibile dopo il tutorial dello shop,Disponible después del tutorial de la tienda,Disponible après le tutoriel du magasin,Wird nach dem Shop-Tutorial freigeschaltet,Có sẵn sau hướng dẫn mua sắm,Disponível após o tutorial da loja,Ma-unlock pagkatapos ng Shop Tutorial,متاح بعد درس المتجر,கடை பயிற்சிக்கு பிறகு திறக்கப்படும்,Доступно после учебника магазина,ปลดล็อกหลังจากบทแนะนำร้านค้า,Beschikbaar na de winkel-tutorial,शॉप ट्यूटोरियल के बाद अनलॉक होगा,Mağaza Eğitimi Sonrasında Mevcut
Panel.RetryOk,Ok,Ok,好的,好的,はい,좋아,Ok,Vale.,D'accord,Ok,Được rồi,Ok,Ok,حسنًا,சரி,Ок,ตกลง,oké,ठीक है,Tamam
Panel.RetryYouWillLose,You Will Lose,Anda akan kehilangan,你会失去,你會失去,負けるぞ,당신은 질 거예요,Perderai,Perderás.,Vous allez perdre,Du wirst verlieren,Bạn sẽ thua,Você vai perder,Matatalo ka,سوف تخسر,நீங்கள் தோல்வி அடைவீர்கள்,Вы потеряете,คุณจะแพ้,Je zult verliezen,आप हार जाएँगे,Kaybedeceksiniz
Panel.Warning ,Warning ,Peringatan,警告,警告,警告 ,경고,Avviso,Advertencia,Avertissement,Warnung,Cảnh Báo,Aviso,Babala,تحذير,எச்சரிக்கை,Предупреждение,คำเตือน,Waarschuwing ,चेतावनी,Uyarı
Panel.AdsBreak,Ads Break,Jeda Iklan,广告即将播放,廣告即將播放,広告休憩,광고 시간,Pausa Pubblicitaria,Pausa de anuncios,Publicité à venir,Werbeunterbrechung,Quảng Cáo,Intervalo de anúncio,Ad break,فاصل إعلاني,விளம்பர இடைவேளை,Реклама скоро начнется,ช่วงโฆษณา,Reclamepauze,विज्ञापन विराम,Reklam yakında başlayacak
Panel.AdsBreakDescription,Thanks for your support!  Ads keep the game alive,Terima kasih atas dukungan Anda! Iklan membuat permainan tetap hidup.,感谢您的支持！广告让游戏得以持续,感謝您的支持！廣告讓遊戲得以持續。,ご支援ありがとうございます！広告がゲームを支えています,응원해 주셔서 감사합니다! 광고가 게임을 계속 유지하게 합니다,Grazie per il tuo supporto! Le pubblicità mantengono vivo il gioco.,¡Gracias por tu apoyo! Los anuncios mantienen vivo el juego.,Merci pour votre soutien ! Les publicités permettent au jeu de continuer.,Danke für deine Unterstützung! Werbung hält das Spiel am Leben.,Cảm ơn bạn đã ủng hộ! Quảng cáo giúp trò chơi tiếp tục phát triển,Obrigado pelo apoio! Os anúncios mantêm o jogo vivo.,Salamat sa suporta! Ang ads ang tumutulong para manatiling buhay ang laro.,شكرًا لدعمك! الإعلانات هي ما يُبقي اللعبة مستمرة.,உங்கள் ஆதரவுக்கு நன்றி! இந்த விளையாட்டு விளம்பரங்களால் தான் தொடர்ந்து செயல்படுகிறது,Спасибо за вашу поддержку! Реклама помогает игре оставаться живой.,ขอบคุณสำหรับการสนับสนุนของคุณ! โฆษณาทำให้เกมนี้อยู่ต่อได้,Bedankt voor je steun! Advertenties houden het spel in leven.,आपके समर्थन के लिए धन्यवाद! विज्ञापन ही इस खेल को जीवित रखते हैं।,Destekleriniz için teşekkür ederiz! Reklamlar oyunun devam etmesini sağlıyor.
