Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
DQ.Task12,Complete 2 consecutive levels,Selesaikan 2 level berturut-turut,连续完成 2 个等级,連續完成 2 個等級,2連続でレベルをクリアする,연속으로 2개 레벨 완료,Completa 2 livelli consecutivi,Completa 2 niveles consecutivos.,Compléter 2 niveaux consécutifs,Schließe 2 Level hintereinander ab.,Hoàn thành 2 ải liên tiếp,Complete 2 níveis consecutivos,Kumpletuhin ang 2 magkasunod na antas,أكمل مستويين متتاليين,தொடர்ச்சியாக 2 நிலைகளை முடிக்கவும்,Пройти 2 уровня подряд,ผ่านด่านติดต่อกัน 2 ด่าน,Voltooi 2 opeenvolgende niveaus,लगातार 2 स्तर पूरे करें,2 ardışık seviyeyi tamamla
DQ.Task13,Change your profile avatar,Ubah avatar profil Anda,更改你的头像,更改你的頭像,プロフィールアバターを変更する,프로필 아바타 변경,Cambia il tuo avatar del profilo,Cambia tu avatar de perfil.,Changer votre avatar de profil,Ändere deinen Profil-Avatar.,Thay đổi ảnh đại diện hồ sơ,Altere o avatar do seu perfil,Baguhin ang iyong profile avatar,غيّر صورة ملفك الشخصي,உங்கள் சுயவிவர அவதாரத்தை மாற்றவும்,Изменить аватар профиля,เปลี่ยนรูปโปรไฟล์,Verander je profielavatar,अपना प्रोफ़ाइल अवतार बदलें,Profil avatarını değiştir
DQ.Task14,Achieve 50 leaderboard score,Capai skor papan peringkat 50 skor,获得 50 分排行榜分数,獲得 50 分排行榜分數,リーダーボードでスコア50を達成する,리더보드 점수 50점 달성,Raggiungi 50 punti in classifica,Consigue 50 puntos en la clasificación.,Atteindre 50 points dans le classement,Erreiche 50 Punkte in der Rangliste.,Đạt 50 điểm trên Bảng Xếp Hạng,Alcance 50 pontos na tabela de classificação,Makamit ang 50 puntos sa leaderboard,حقق 50 نقطة في لوحة المتصدرين,லீடர்போர்டு மதிப்பெண் 50 ஐ அடையவும்,Достигнуть 50 очков в таблице лидеров,ทำคะแนนบนกระดานผู้นำให้ได้ 50 คะแนน,Behaal 50 punten op de ranglijst,लीडरबोर्ड में 50 अंक प्राप्त करें,Liderlik tablosunda 50 puan elde et
DQ.Task15,Use the roulette feature 3 times,Gunakan fitur roulette 3 kali,使用轮盘功能 3 次,使用輪盤功能 3 次,ルーレット機能を3回使う,룰렛 기능 3회 사용,Usa la funzione roulette 3 volte,Usa la función ruleta 3 veces.,Utiliser la fonction roulette 3 fois,Verwende die Roulette-Funktion 3 Mal.,Sử dụng tính năng vòng quay 3 lần,Use o recurso de roleta 3 vezes,Gamitin ang roulette feature 3 beses,استخدم ميزة الروليت 3 مرات,ரவுலட் அம்சத்தை 3 முறை பயன்படுத்தவும்,Использовать функцию рулетки 3 раза,ใช้ฟีเจอร์รูเล็ต 3 ครั้ง,Gebruik de roulettefunctie 3 keer,3 बार रूलेट फीचर का उपयोग करें,Rulet özelliğini 3 kez kullan
DQ.Task16,Collect 15 planks with color Pink,Kumpulkan 15 plank berwarna Merah Muda,收集 15 块粉色木板,收集 15 塊粉紅色木板,ピンクのプランクを15枚集める,분홍색 널빤지 15개 수집,Raccogli 15 assi di colore Rosa,Recoge 15 tablones de color rosa.,Collecter 15 planches de couleur Rose,Sammle 15 Bretter in der Farbe Pink.,Thu thập 15 tấm ván màu Hồng,Recolha 15 tábuas com a cor rosa,Kumuha ng 15 piraso ng tabla na kulay Pink,اجمع 15 لوحًا باللون الوردي,15 இளஞ்சிவப்பு பலகைகளைச் சேகரிக்கவும்,Собрать 15 досок цвета Розовый,เก็บไม้กระดานสีชมพู 15 แผ่น,Verzamel 15 roze planken,गुलाबी रंग के 15 तख्ते एकत्र करें,Pembe renkli 15 tahta topla
DQ.Task17,Collect 10 planks with color Brown,Kumpulkan 10 plank berwarna Coklat,收集 10 块棕色木板,收集 10 塊棕色木板,ブラウンのプランクを10枚集める,갈색 널빤지 10개 수집,Raccogli 10 assi di colore Marrone,Recoge 10 tablones de color marrón.,Collecter 10 planches de couleur Marron,Sammle 10 Bretter in der Farbe Braun.,Thu thập 10 tấm ván màu Nâu,Recolha 10 tábuas com a cor castanha,Kumuha ng 10 tabla na kulay Brown,اجمع 10 ألواح باللون البني,10 பழுப்பு பலகைகளைச் சேகரிக்கவும்,Собрать 10 досок цвета Коричневый,เก็บไม้กระดานสีน้ำตาล 10 แผ่น,Verzamel 10 bruine planken,भूरे रंग के 10 तख्ते एकत्र करें,Kahverengi renkli 10 tahta topla
DQ.Task18,Collect 10 planks with color Sky Blue,Kumpulkan 10 plank berwarna Biru Langit,收集 10 块天蓝色木板,收集 10 塊天藍色木板,スカイブルーのプランクを10枚集める,하늘색 널빤지 10개 수집,Raccogli 10 assi di colore Azzurro,Recoge 10 tablones de color azul cielo.,Collecter 10 planches de couleur Bleu Ciel,Sammle 10 Bretter in der Farbe Himmelblau.,Thu thập 10 tấm ván màu Xanh Da Trời,Recolha 10 tábuas com a cor azul-celeste,Kumuha ng 10 tabla na may kulay na Sky Blue,اجمع 10 ألواح باللون الأزرق السماوي,10 வான நீல பலகைகளைச் சேகரிக்கவும்,Собрать 10 досок цвета Голубой,เก็บไม้กระดานสีฟ้าสกายบลู 10 แผ่น,Verzamel 10 hemelsblauwe planken,आसमानी रंग के 10 तख्ते एकत्र करें,Gökyüzü mavisi renkli 10 tahta topla
DQ.Task19,Complete 2 levels with a total time of 120 seconds,Selesaikan 2 level dalam 120 detik,120秒内完成2 个等级,120秒內完成2個等級,合計120秒以内で2レベルをクリアする,총 120초 소요 레벨 2개 완료,Completa 2 livelli in un tempo totale di 120 secondi,Completa 2 niveles con un tiempo total de 120 segundos.,Compléter 2 niveaux avec un temps total de 120 secondes,Schließe 2 Level mit einer Gesamtzeit von 120 Sekunden ab.,Hoàn thành 2 ải với tổng thời gian 120 giây,Complete 2 níveis com um tempo total de 120 segundos,Kumpletuhin ang 2 antas sa kabuuang oras na 120 segundo,أكمل مستويين بإجمالي وقت 120 ثانية,10 வான நீல பலகைகளைச் சேகரிக்கவும்,Пройти 2 уровня с общим временем 120 секунд,เล่นให้จบ 2 ด่าน โดยใช้เวลาทั้งหมด 120 วินาที,Voltooi 2 niveaus binnen 120 seconden,120 सेकंड के भीतर 2 स्तर पूरे करें,Toplamda 120 saniye süren 2 seviyeyi tamamla
DQ.Task20,Complete 3 consecutive levels,Selesaikan 3 level berturut-turut,完成连续 3 个等级,完成連續 3 個等級,3連続でレベルをクリアする,연속으로 3개 레벨 완료,Completa 3 livelli consecutivi,Completa 3 niveles consecutivos.,Compléter 3 niveaux consécutifs,Schließe 3 Level hintereinander ab.,Hoàn thành 3 ải liên tiếp,Complete 3 níveis consecutivos,Kumpletuhin ang 3 magkakasunod na antas,أكمل 3 مستويات متتالية,ஒரு வரிசையில் 3 நிலைகளை முடிக்கவும்,Пройти 3 уровня подряд,ผ่านด่านติดต่อกัน 3 ด่าน,Voltooi 3 opeenvolgende niveaus,लगातार 3 स्तर पूरे करें,3 ardışık seviyeyi tamamla
DQ.Task21,Complete 3 levels without using any skills,Selesaikan 3 level tanpa menggunakan skill apa pun,不使用任何能力完成 3 个等级,不使用任何能力完成 3 個等級,スキルを使わずに3レベルをクリア,스킬 없이 3개 레벨 완료,Completa 3 livelli senza usare nessuna abilità,Completa 3 niveles sin usar ninguna habilidad.,Compléter 3 niveaux sans utiliser de compétences,Schließe 3 Level ohne Verwendung von Fähigkeiten ab.,Hoàn thành 3 ải mà không sử dụng bất kỳ kỹ năng nào,Complete 3 níveis sem usar nenhuma habilidade,Kumpletuhin ang 3 antas nang hindi gumagamit ng anumang kasanayan.,أكمل 3 مستويات دون استخدام أي مهارات,எந்தத் திறன்களையும் பயன்படுத்தாமல் 3 நிலைகளை முடிக்கவும்,Пройти 3 уровня без использования умений,ผ่าน 3 ด่านโดยไม่ใช้ทักษะใดๆ,Voltooi 3 niveaus zonder vaardigheden te gebruiken,बिना किसी कौशल का उपयोग किए 3 स्तर पूरे करें,Hiçbir beceri kullanmadan 3 seviyeyi tamamla
DQ.Task22,Share your victory 2 times,Bagikan kemenangan Anda 2 kali,分享你的胜利2次,分享你的勝利2次,勝利を2回シェア,승리 2회 공유,Condividi la tua vittoria 2 volte,Comparte tu victoria 2 veces.,Partager votre victoire 2 fois,Teile deinen Sieg zweimal.,Chia sẻ chiến thắng của ngươi 2 lần,Partilhe a sua vitória 2 vezes,Ibahagi ang iyong tagumpay 2 beses,شارك انتصارك مرتين,உங்கள் வெற்றிகளை 2 முறை பகிரவும்,Поделиться победой 2 раза,แบ่งปันชัยชนะของคุณ 2 ครั้ง,Deel je overwinning 2 keer,अपनी जीत 2 बार साझा करें,Zaferini 2 kez paylaş
DQ.Task23,Use a total of 4 skills,Gunakan total 4 skill,总共使用4个能力,總共使用4個能力,合計でスキルを4回使う,총 4회 스킬 사용,Usa un totale di 4 abilità,Usa un total de 4 habilidades.,Utiliser un total de 4 compétences,Verwende insgesamt 4 Fähigkeiten.,Sử dụng tổng cộng 4 kỹ năng,Use um total de 4 habilidades,Gumamit ng kabuuang 4 na kasanayan,استخدم 4 مهارات إجمالاً,மொத்தம் 4 திறன்களைப் பயன்படுத்தவும்,Использовать всего 4 умения,ใช้ทักษะทั้งหมด 4 อย่าง,Gebruik in totaal 4 vaardigheden,कुल 4 कौशलों का उपयोग करें,Toplamda 4 beceri kullan
DQ.Task24,Collect 15 planks with color Cyan,Kumpulkan 15 plank berwarna Sian,收集 15 块青色木板,收集 15 塊青色木板,シアンのプランクを15枚集める,청록색 널판지 15개 수집,Raccogli 15 assi di colore Ciano,Recoge 15 tablones de color cian.,Collecter 15 planches de couleur Cyan,Sammle 15 Bretter in der Farbe Cyan.,Thu thập 15 tấm ván màu Xanh Ngọc,Recolha 15 tábuas com a cor ciano,Kumuha ng 15 piraso ng tabla na kulay Cyan,اجمع 15 لوحًا باللون السماوي,15 சியான் பலகைகளைச் சேகரிக்கவும்,Собрать 15 досок цвета Циан,เก็บไม้กระดานสีฟ้า 15 แผ่น,Verzamel 15 cyaankleurige planken,सियान रंग के 15 तख्ते एकत्र करें,Siyan renkli 15 tahta topla
DQ.Task25,Collect 20 planks with color Purple,Kumpulkan 20 plank berwarna Ungu,收集 20 块紫色木板,收集 20 塊紫色木板,パープルのプランクを20枚集める,보라색 널판지 20개 수집,Raccogli 20 assi di colore Viola,Recoge 20 tablones de color morado.,Collecter 20 planches de couleur Violet,Sammle 20 Bretter in der Farbe Lila.,Thu thập 20 tấm ván màu Tím,Recolha 20 tábuas com a cor roxa,Kumuha ng 20 piraso ng tabla na kulay Lila,اجمع 20 لوحًا باللون الأرجواني,20 ஊதா பலகைகளைச் சேகரிக்கவும்,Собрать 20 досок цвета Фиолетовый,เก็บไม้กระดานสีม่วง 20 แผ่น,Verzamel 20 paarse planken,बैंगनी रंग के 20 तख्ते एकत्र करें,Mor renkli 20 tahta topla
DQ.Task26,Collect 20 planks with color Peach,Kumpulkan 20 plank berwarna Jingga,收集 20 块桃色木板,收集 20 塊桃色木板,ピーチのプランクを20枚集める,복숭아색 널판지 20개 수집,Raccogli 20 assi di colore Pesca,Recoge 20 tablones de color melocotón.,Collecter 20 planches de couleur Pêche,Sammle 20 Bretter in der Farbe Pfirsich.,Thu thập 20 tấm ván màu Đào,Recolha 20 tábuas com a cor pêssego,Kumuha ng 20 piraso ng tabla na kulay Peach.,اجمع 20 لوحًا باللون الخوخي,20 பீச் பலகைகளைச் சேகரிக்கவும்,Собрать 20 досок цвета Персик,เก็บไม้กระดานสีพีช 20 แผ่น,Verzamel 20 perzikkleurige planken.,पीच रंग के 20 तख्ते एकत्र करें,Şeftali renkli 20 tahta topla
DQ.Task27,Change to a different background today,Ubah latar belakang hari ini,今天换背景,今天換背景,今日の背景を変更する,오늘 다른 배경으로 변경,Cambia sfondo oggi,Cambia a un fondo diferente hoy.,Changer de fond aujourd'hui,Wechsle heute zu einem anderen Hintergrund.,Hôm nay hãy đổi sang một phông nền khác,Mude para um fundo diferente hoje,Magpalit ng ibang background ngayon,غيّر الخلفية اليوم,இன்றைய பின்னணியை மாற்றவும்,Сменить фон сегодня,เปลี่ยนพื้นหลังเป็นแบบอื่นวันนี้,Verander vandaag naar een andere achtergrond.,आज एक अलग पृष्ठभूमि चुनें,Bugün farklı bir arka plan değiştir
DQ.Task28,Use the roulette feature 5 times,Gunakan fitur roulette 5 kali,使用轮盘功能 5 次,使用輪盤功能 5 次,ルーレットを5回使用する,룰렛 기능 5회 사용,Usa la funzione roulette 5 volte,Usa la función de ruleta 5 veces.,Utiliser la fonction roulette 5 fois,Verwende die Roulette-Funktion 5 Mal.,Sử dụng tính năng vòng quay 5 lần,Use o recurso de roleta 5 vezes,Gamitin ang roulette feature 5 beses,استخدم ميزة الروليت 5 مرات,ரவுலட் அம்சத்தை 5 முறை பயன்படுத்தவும்,Использовать функцию рулетки 5 раз,ใช้ฟีเจอร์รูเล็ต 5 ครั้ง,Gebruik de roulettfunctie 5 keer.,5 बार रूलेट फीचर का उपयोग करें,Rulet özelliğini 5 kez kullan
DQ.Task29,Complete 4 levels within 120 seconds,Selesaikan 4 level dalam 120 detik,120秒内完成4 个等级,120秒內完成4個等級,合計120秒以内で4レベルをクリアする,120초 내 4개 레벨 완료,Completa 4 livelli in 120 secondi,Completa 4 niveles en 120 segundos.,Compléter 4 niveaux en 120 secondes,Schließe 4 Level innerhalb von 120 Sekunden ab.,Hoàn thành 4 ải trong vòng 120 giây,Complete 4 níveis em 120 segundos,Kumpletuhin ang 4 na antas sa loob ng 120 segundo,أكمل 4 مستويات في غضون 120 ثانية,120 வினாடிகளில் 4 நிலைகளை முடிக்கவும்,Пройти 4 уровня за 120 секунд,ทำด่านให้ครบ 4 ด่านภายใน 120 วินาที,Voltooi 4 niveaus binnen 120 seconden,120 सेकंड के भीतर 4 स्तर पूरे करें,120 saniye içinde 4 seviyeyi tamamla
DQ.Task30,Collect 40 planks with color Dark Blue,Kumpulkan 40 plank berwarna Biru Tua,收集 40 块深蓝色木板,收集 40 塊深藍色木板,ダークブルーの板を40枚集める,진한 파란색 널판지 40개 수집,Raccogli 40 assi di colore Blu Scuro,Recoge 40 tablones de color azul oscuro.,Collecter 40 planches de couleur Bleu Foncé,Sammle 40 Bretter in der Farbe Dunkelblau.,Thu thập 40 tấm ván màu Xanh Đậm,Recolha 40 tábuas com a cor azul escuro,Kumuha ng 40 piraso ng tabla na may kulay na Dark Blue,اجمع 40 لوحًا باللون الأزرق الداكن,40 அடர் நீல பலகைகளைச் சேகரிக்கவும்,Собрать 40 досок цвета Темно-Синий,เก็บไม้กระดานสีน้ำเงินเข้ม 40 แผ่น,Verzamel 40 donkerblauwe planken,गहरे नीले रंग के 40 तख्ते एकत्र करें,Koyu Mavi renkli 40 tahta topla
DQ.Task31,Collect 40 planks with color Magenta,Kumpulkan 40 plank dengan warna Magenta,收集 40 块洋红色木板,收集 40 塊洋紅色木板,マゼンタの板を40枚集める,마젠타색 널빤지 40개 수집,Raccogli 40 assi di colore Magenta,Recoge 40 tablones de color magenta.,Collecter 40 planches de couleur Magenta,Sammle 40 Bretter in der Farbe Magenta.,Thu thập 40 tấm ván màu Hồng Tím,Recolha 40 tábuas com a cor magenta,Kumuha ng 40 piraso ng tabla na kulay Magenta,اجمع 40 لوحًا باللون الأرجواني,40 வண்ண பலகைகள் மெஜந்தாவை சேகரிக்கவும்,Собрать 40 досок цвета Пурпурный,เก็บไม้กระดานสีม่วงแดง 40 แผ่น,Verzamel 40 magentakleurige planken,मैजेंटा रंग के 40 तख्ते एकत्र करें,Magnea renkli 40 tahta topla
DQ.Task32,Complete 5 consecutive levels,Selesaikan 5 level berturut-turut,完成连续 5 个等级,完成連續 5 個等級,5連続でレベルをクリアする,연속 5개 레벨 완료,Completa 5 livelli consecutivi,Completa 5 niveles consecutivos.,Compléter 5 niveaux consécutifs,Schließe 5 aufeinanderfolgende Level ab.,Hoàn thành 5 ải liên tiếp,Complete 5 níveis consecutivos,Kumpletuhin ang 5 sunod-sunod na antas,أكمل 5 مستويات متتالية,ஒரு வரிசையில் 5 நிலைகளை முடிக்கவும்,Пройти 5 уровней подряд,ผ่านด่านติดต่อกัน 5 ด่าน,Voltooi 5 opeenvolgende niveaus,लगातार 5 स्तर पूरे करें,5 ardışık seviyeyi tamamla
DQ.Task33,Use each type of skill once,Gunakan setiap jenis skill sekali,每种能力使用一次,每種能力使用一次,すべてのスキルを1回ずつ使う,각종 스킬 1회씩 사용,Usa ogni tipo di abilità una volta,Usa cada tipo de habilidad una vez.,Utiliser chaque type de compétence une fois,Verwende jede Art von Fähigkeit einmal.,Sử dụng mỗi loại kỹ năng một lần,Use cada tipo de habilidade uma vez,Gamitin ang bawat uri ng kasanayan nang isang beses.,استخدم كل نوع من المهارات مرة واحدة,ஒவ்வொரு திறன் வகையையும் பயன்படுத்தவும் ஒரு முறை,Использовать каждый тип умения один раз,ใช้ทักษะแต่ละประเภทเพียงครั้งเดียว,Gebruik elk type vaardigheid één keer.,प्रत्येक प्रकार के कौशल का एक बार उपयोग करें,Her beceri türünü bir kez kullan
DQ.Task34,Complete stage 1 within 20 seconds,Selesaikan stage 1 dalam 20 detik,20秒内完成第一阶段,"20秒內完成第一階段
",ステージ1を20秒以内にクリアする,20초 이내에 1단계 완료,Completa il livello 1 in 20 secondi,Completa la fase 1 en 20 segundos.,Compléter l'étape 1 en 20 secondes,Schließe Stufe 1 innerhalb von 20 Sekunden ab.,Hoàn thành ải 1 trong vòng 20 giây,Complete a fase 1 em 20 segundos,Kumpletuhin ang yugto 1 sa loob ng 20 segundo,أكمل المرحلة 1 في غضون 20 ثانية,நிலை 1 ஐ 20 வினாடிகளுக்குள் முடிக்கவும்,Пройти этап 1 за 20 секунд,ทำด่านที่ 1 ให้เสร็จภายใน 20 วินาที,Voltooi fase 1 binnen 20 seconden,20 सेकंड में चरण 1 पूरा करें,1. aşamayı 20 saniye içinde tamamla
