Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Menu.LockSkinShop,Unlock Skin Shop at level 7,Buka Toko Kostum pada level 7,在第7关解锁皮肤商店,在第7關解鎖皮膚商店,レベル7でスキンショップ解放！,레벨 7에 스킨 상점 해금,Sblocca il Negozio Skins al livello 7,Desbloquea la tienda de aspectos en el nivel 7.,Débloquer la boutique de peau au niveau 7,Schalte den Skin-Shop auf Stufe 7 frei.,Mở khóa Cửa Hàng Trang Phục ở cấp 7,Desbloqueie a Loja de Skins no nível 7.,I-unlock ang Skin Shop sa level 7,فتح متجر المظهر عند المستوى 7,"நிலை 7-ல் ஸ்கின் கடை 
திறக்கவும்",Разблокировать магазин кожи на уровне 7,ปลดล็อกร้านขายสกินเมื่อถึงเลเวล 7,Ontgrendel Skin Shop op niveau 7,स्तर 7 पर स्किन शॉप को अनलॉक करें,Derisi Mağazasını 7. seviyede aç
Menu.LockShop,Unlock Shop at level 5,Buka Toko pada level 5,在第5关解锁商店,在第5關解鎖商店,レベル5でショップ解放！,레벨 5에 상점 해금,Sblocca il Negozio al livello 5,Desbloquea la tienda en el nivel 5.,Débloquer la boutique au niveau 5,Schalte den Shop auf Stufe 5 frei.,Mở khóa Cửa Hàng ở cấp 5,Desbloqueie a Loja no nível 5.,I-unlock ang Shop sa level 5,فتح المتجر عند المستوى 5,நிலை 5-ல் கடை திறக்கவும்,Разблокировать магазин на уровне 5,ปลดล็อกร้านค้าเมื่อถึงเลเวล 5,Ontgrendel Shop op niveau 5,स्तर 5 पर दुकान खोलें,Mağazayı 5. seviyede aç
Menu.LockLeaderboard,Unlock Leaderboard at level 20 ,Buka Papan Peringkat pada level 20,在第20关解锁排行榜,在第20關解鎖排行榜,レベル20でリーダーボード解放！,레벨 20에 리더보드 해금,Sblocca la Classifica al livello 20,Desbloquea la tabla de clasificación en el nivel 20.,Débloquer le tableau des leaders au niveau 20,Schalte die Rangliste auf Stufe 20 frei.,Mở khóa Bảng Xếp Hạng ở cấp 20,Desbloqueie a Tabela de Classificação no nível 20.,I-unlock ang Leaderboard sa level20,فتح لوحة المتصدرين عند المستوى 20,"நிலை 20-ல் முன்னணி 
பட்டியல் திறக்கவும்",Разблокировать таблицу лидеров на уровне 20,ปลดล็อกกระดานผู้นำเมื่อถึงเลเวล 20,Ontgrendel het klassement op niveau 20 ,स्तर 2 पर लीडरबोर्ड अनलॉक करें,Lider Tablosunu 20. seviyede aç
Menu.QuitTitle,QUIT ,KELUAR,退出游戏,退出遊戲,終了,종료,ESCI ,SALIR,QUITTER,BEENDEN ,THOÁT,SAIR,Lumabas,توقف,வெளியேறு,ВЫЙТИ,ออกจากเกม,AFSLUITEN,बाहर निकलें,ÇIK
Menu.QuitDescription,Are you want to quit ?,Apakah Anda ingin keluar?,你确定要退出游戏吗？,你確定要退出遊戲嗎？,終了しますか？,종료하시겠습니까?,Vuoi smettere?,¿Desea salir?,Voulez-vous quitter ?,Möchten Sie beenden?,Bạn có muốn thoát không?,Quer sair?,Gusto mo bang lumabas?,هل تريد التوقف؟,நீங்கள் வெளியேற விரும்புகிறீர்களா?,Вы хотите выйти?,คุณต้องการออกจากเกมหรือไม่?,Wil je het spel afsluiten?,क्या आप बाहर निकलना चाहते हैं?,Çıkmak istiyor musunuz?
Menu.QuitYes,YES,YA,是的,是的,はい,예,SÌ,SÍ,OUI,JA,CÓ,SIM,Oo,نعم,ஆம்,ДА,ใช่,JA,हाँ,EVET
Menu.QuitNo,NO,Tidak,不是,不是,いいえ,아니오,NO,NO,NON,Nein,KHÔNG,NÃO,Hindi,لا,இல்லை,НЕТ,ไม่,NEE,नहीं,HAYIR
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
