Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Shop.Promotion,Best Choice,Pilihan Terbaik,最佳选择,最佳選擇,ベストチョイス,최고의 선택,Miglior Scelta,Mejor Elección,Meilleur Choix,Beste Wahl,Lựa chọn tốt nhất,Melhor Escolha,Pinakamahusay na Piliin,أفضل اختيار,சிறந்த தேர்வு,Лучший выбор,ตัวเลือกที่ดีที่สุด,Beste Keuze,सबसे अच्छा विकल्प,En İyi Seçim
Shop.Promotion2,Best Price,Harga Terbaik,最优惠的价格,最優惠的價格,ベストプライス,베스트 가격,Miglior Prezzo,Mejor precio,Meilleur Prix,Bester Preis,Giá Tốt Nhất,Melhor preço,Pinakamagandang Presyo,أفضل سعر,சலுகை விலை,Лучшая цена,ราคาดีที่สุด,Beste Prijs,बेस्ट प्राइस,En İyi Fiyat
Shop.Promotion3,Most Popular,Terpopuler,最受欢迎,最受歡迎,最も人気,가장 인기 있는 상품,I più popolari,Más populares,Le Plus Populaire,Beliebteste Angebote,Phổ biến nhất,Mais populares,Pinakasikat,الأكثر شعبية,மிகவும் பிரபலமான,Самый популярный,ยอดนิยม,Meest populair,सबसे लोकप्रिय,En Popüler
Shop.Promotion4,Limited Offer,Penawaran Terbatas,限时优惠,限時優惠,期間限定キャンペーン,한정 특가,Offerta limitata,Oferta limitada,Offre Limitée,Limitiertes Angebot,Khuyến mãi có hạn,Oferta limitada,Limitadong Alok,عرض محدود,வரையறுக்கப்பட்ட சலுகை,Ограниченное предложение,ข้อเสนอมีจำนวนจำกัด,Beperkte aanbieding,सीमित पेशकश,Sınırlı Teklif
Shop.Promotion5,Hot Offer,Penawaran Panas,热卖优惠,熱賣優惠,人気のオファー,핫딜,Offerta Calda,Oferta especial,Offre Chaude,Heißes Angebot,Khuyến mãi hấp dẫn,Oferta imperdível,Mainit na Alok,عرض ساخن,ஹாட் சலுகை,Горячее предложение,ข้อเสนอสุดร้อนแรง,Hete aanbieding,हॉट ऑफर,Sıcak Teklif
Shop.SaverPack,Saver Pack,Paket Hemat,实惠包,實惠包,節約パック,절약 패키지,Confezione risparmio,Paquete ahorro,Pack Économique,Sparpaket,Gói Tiết Kiệm,Pacote econômico,Saver Pack,حزمة التوفير,சேமிப்பு பொதி,Пакет для экономии,ชุดประหยัด,Bespaarpakket,सेवर पैक,Tasarruf Paketi
Shop.Flash Sale A,Flash Sale A,Flash Sale A,闪购 A,閃購 A,フラッシュセールA,플래시 세일 A,Vendita lampo A,Oferta flash A,Vente Flash A,Flash-Sale A,Khuyến mãi nhanh A,Promoção relâmpago A,Flash Sale A,تخفيضات سريعة أ,ஃப்ளாஷ் விற்பனை ஏ,Флеш распродажа A,แฟลชเซลล์ A,Flashverkoop A,फ्लैश सेल ए,Hızlı Satış A
Shop.Flash Sale B,Flash Sale B,Flash Sale B,闪购 B,閃購 B,フラッシュセールB,플래시 세일 B,Vendita lampo B,Oferta flash B,Vente Flash B,Flash-Sale B,Khuyến mãi nhanh B,Promoção relâmpago B,Flash Sale B,تخفيضات سريعة ب,ஃப்ளாஷ் விற்பனை பி,Флеш распродажа B,แฟลชเซลล์ B,Flashverkoop B,फ्लैश सेल बी,Hızlı Satış B
Shop.Buy1Get1,Buy 1 Get 1  Package,Beli 1 Dapat 1,买一送一,買一送一,1つ買うと1つ無料パック,1+1 패키지,Acquista 1 ricevi 1  Pacchetto,Compre 1 y llévese 1 gratis  Paquete,Achetez 1 Obtenez 1 Pack,"1 kaufen, 1 gratis  Paket",Mua 1 Tặng 1 Gói,Compre 1 e ganhe 1  Pacote,Bumili 1 Kumuha 1 Package,اشترِ 1 واحصل على 1  حزمة,1 வாங்கவும் 1 தொகுப்பைப் பெறுங்கள்,"Купи 1, получи 1 в комплекте",ซื้อ 1 แถม 1 แพ็คเกจ,Koop 1 krijg 1 pakket,1 खरीदें 1 पैकेज प्राप्त करें,"1 Al, 1 Bedava Paket"
Shop.RAds,Remove ADS,Hapus Iklan,删除广告,删除广告,広告を削除,광고 제거,Rimuovi Pubblicità,Eliminar anuncios,Supprimer les Publicités,Werbung entfernen,XÓA QUẢNG CÁO,Remover anúncios,Alisin ang mga ADVERTISEMENT,إزالة الإعلانات,ADS ஐ நீக்கு,Удалить рекламу,ลบโฆษณา,Verwijder ADS,एडीएस हटाएँ,Reklamları Kaldır
Shop.RAdsSub,Subscribe,Berlangganan,订阅,訂閱,購読,구독하기,Iscriviti,Suscribirse,Abonnez-vous,Abonnieren,Đăng ký,Inscrever-se,Mag-subscribe,اشترك,சந்தாப்படுத்துங்கள்,Подписка,สมัครสมาชิก,Abonneren,सब्सक्राइब करें,Abone Ol
Shop.Christmas Pack ,Christmas Package,Paket Natal,圣诞套餐,聖誕套餐,クリスマスパッケージ,크리스마스 패키지,Pacchetto Natale,Paquete de Navidad,Pack de Noël,Weihnachtspaket,Gói quà Giáng sinh,Pacote de Natal,Paketeng Pasko,حزمة عيد الميلاد,கிறிஸ்துமஸ் தொகுப்பு,Рождественский пакет,แพ็คเกจคริสต์มาส,Kerstpakket,क्रिसमस पैकेज,Noel Paketi
Shop.Bundle Pack ,Bundle Pack,Paket Gabungan,捆绑套餐,綑綁套餐,バンドルパック,번들 패키지,Pacchetto bundle,Paquete combinado,Pack Groupé,Bundle-Paket,Gói combo,Pacote combinado,Paketeng Pagsasama-sama,حزمة الباقة,தொகுப்பு பேக்,Пакет для сбора,แพ็คเกจรวม,Bundelpakket,बंडल पैक,Paketler
Shop.EidPackage,Eid Package,Paket Idul Fitri,开斋节套餐,開齋節套餐,イードパック,이드 패키지,Pacchetto Eid,Paquete Eid,Pack de l'Aïd,Eid-Paket,Gói Eid,Pacote Eid,Paketeng Eid,حزمة العيد,ஈத் பண்டிகை தொகுப்பு,Пакет на праздник Ид,แพ็คเกจวันอีด,Eid-pakket,ईद पैकेज,Ramazan Paketi
Shop.NewYearPackage ,New Year Package,Paket Tahun Baru,新年套餐,新年套餐,お正月パック,새해 패키지,Pacchetto Capodanno,Paquete de Año Nuevo,Pack du Nouvel An,Neujahrspaket,Gói dịch vụ Tết Nguyên Đán,Pacote de Ano Novo,Pakete ng Bagong Taon,حزمة رأس السنة,புத்தாண்டு தொகுப்பு,Новогодний пакет,แพ็คเกจปีใหม่,Nieuwjaarspakket,नए साल का पैकेज,Yılbaşı Paketi
Shop.BirthdayPackage,Birthday Package,Paket Ulang Tahun,生日套餐,生日套餐,誕生日パッケージ,생일 패키지,Pacchetto Compleanno,Paquete de cumpleaños,Pack d'Anniversaire,Geburtstagspaket,Gói Sinh Nhật,Pacote de aniversário,Paketeng Kaarawan,حزمة عيد الميلاد,பிறந்தநாள் தொகுப்பு,Пакет на день рождения,แพ็คเกจวันเกิด,Verjaardagspakket,जन्मदिन पैकेज,Doğum Günü Paketi
Shop.ChristmasPopup,Merry Christmas,Selamat Natal,圣诞快乐,聖誕快樂,メリークリスマス,메리 크리스마스,Buon Natale,Feliz Navidad,Joyeux Noël,Frohe Weihnachten,Chúc mừng Giáng sinh,Feliz Natal,Maligayang Pasko,عيد ميلاد سعيد,கிறிஸ்துமஸ் வாழ்த்துக்கள்,С Рождеством,สุขสันต์วันคริสต์มาส,Vrolijk Kerstfeest,क्रिसमस की शुभकामनाएं,Mutlu Noeller
Shop.AdsFree,Ads Free,Tanpa Iklan,无广告,無廣告,広告なし,광고 없음,Senza Pubblicità,Sin anuncios,Sans publicité,Werbungfrei,Không Quảng Cáo,Sem anúncios,Walang Ads,بدون إعلانات,விளம்பரம் இலவசம்,Без рекламы,ไม่มีโฆษณา,Reclamevrij,विज्ञापन मुक्त,Reklamsız
Shop.BestDeal,Best Deal,Penawaran Terbaik,最佳优惠,最佳優惠,ベストディール,최고의 혜택,Miglior Offerta,La mejor oferta,Meilleure Offre,Bestes Angebot,Giao dịch tốt nhất,Melhor oferta,Pinakamahusay na offer,أفضل صفقة,சிறந்த சலுகை,Лучшая сделка,ข้อเสนอที่ดีที่สุด,Beste Deal,सबसे बढ़िया सौदा,En İyi Fırsat
Shop.Day,Day,hari,天,天,日,일,Giorno,Día,jours,Tag,Ngày,Dia,Araw,يوم,நாள்,дней,วัน,dag,दिन,gün
Shop.Hours,Hour,jam,小时,小時,時間,시간,Ora,Hora,heures,Stunde,Giờ,Hora,Oras,ساعة,மணி,часов,ชั่วโมง,uur,घंटा,saat
Shop.Second,Second,detik,秒,秒,秒,초,Secondi,Segundo,secondes,Sekunde,Giây,Segundo,Segundo,ثانية,விநாடி,секунд,วินาที,Seconde,सेकंड,saniye
Shop.NotEnoughMoney,You don't have enough {0} to buy this.,Kamu tidak memiliki cukup {0} untuk membeli ini.,你没有足够的 {0} 来购买这个。,你沒有足夠的 {0} 來購買這個。,買うには {0} が足りません。,이걸 구매하기에 {0}가 충분하지 않습니다.,Non hai abbastanza {0} per acquistarlo.,No tienes suficiente {0} para comprar esto.,Vous n’avez pas assez de {0} pour acheter ceci.,"Du hast nicht genug {0}, um dies zu kaufen.",Bạn không có đủ {0} để mua vật phẩm này.,Você não tem {0} suficiente para comprar isso.,Wala kang sapat na {0} para bilhin ito.,ليس لديك ما يكفي من ‎{0}‎ لشراء هذا.,இதை வாங்க உங்களிடம் போதுமான {0} இல்லை.,"У вас недостаточно {0}, чтобы купить это.",คุณมี {0} ไม่พอที่จะซื้อสิ่งนี้,Je hebt niet genoeg {0} om dit te kopen.,इसे खरीदने के लिए आपके पास पर्याप्त {0} नहीं है।,Bunu satın almak için yeterli {0} yok.
