Key,English,Indonesian,MandarinSimplified,MandarinTraditional,Japanese,Korean,Italian,Spanish,French,German,Vietnamese,Portuguese,Filipino,Arab,Tamil,Russian,Thai,Dutch,Hindi,Turkish
Tutorial.Shop2,Check out your goodies.,Lihat barang-barang yang bisa kamu beli.,看看你可以买的好东西,看看你可以買的好東西,手に入れたグッズを見よう！,보상을 확인하세요.,Dai un’occhiata ai tuoi premi.,Echa un vistazo a tus artículos.,Découvrez vos trésors.,Sehen Sie sich Ihre Goodies an.,Xem ngay quà tặng của bạn.,Confira os seus itens.,Tingnan mo ang iyong mga pasalubong.,تحقق من الأشياء الجيدة.,ஹூரே! உங்கள் கடை திறந்திருக்கிறது!,Посмотрите свои товары.,ดูของดีๆ ของคุณสิ,Bekijk je spulletjes.,अपने इनाम देखें।,Eşyalarınızı keşfedin.
Tutorial.Shop3,"Get coins, gem, and packs.","Dapatkan koin, permata, dan paket ",获取硬币、钻石和礼包,獲取硬幣、鑽石和禮包,コイン・ダイヤ・パックをゲットしよう！,"코인, 다이아몬드, 팩을 획득하세요.","Ottieni monete, diamanti e pacchetti.","Consigue monedas, diamantes y paquetes.","Obtenez des pièces, des diamants et des packs.","Erhalte Münzen, Diamanten und Pakete.","Nhận xu, kim cương và gói quà.","Ganhe moedas, diamantes e pacotes.","Kumuha ng mga barya, diyamante, at pakete.",احصل على العملات المعدنية والماس والحزم.,உங்களுக்காகக் காத்திருக்கும் அனைத்து அற்புதமான வெகுமதிகளையும் பாருங்கள்.,"Получайте монеты, алмазы и наборы.",รับเหรียญ เพชร และแพ็ค,"Verzamel munten, diamanten en pakketten.","कॉइन, डायमंड और पैक्स प्राप्त करें।","Madeni paralar, elmaslar ve paketler kazanın."
Tutorial.Shop4,Packs come stuffed with coins and skills.,Paket berisi koin dan skill.,礼包里装满了硬币和能力,禮包裡裝滿了硬幣和能力,パックにはコインとスキルがぎっしり！,팩에는 코인과 스킬이 가득 들어 있습니다.,I pacchetti sono pieni di monete e abilità.,Los paquetes están llenos de monedas y habilidades.,Les packs sont remplis de pièces et de compétences.,Pakete sind mit Münzen und Fähigkeiten gefüllt.,Các gói quà chứa đầy xu và kỹ năng.,Os pacotes vêm cheios de moedas e habilidades.,Ang mga pakete ay puno ng mga barya at kasanayan.,تأتي الحزم محشوة بالعملات المعدنية والمهارات.,கூல் ஸ்கின்கள் அல்லது திறன்களை வாங்க நாணயங்கள் மற்றும் வைரங்களைப் பயன்படுத்தவும்.,Наборы наполнены монетами и способностями.,แพ็คเกจบรรจุเหรียญและทักษะมาเต็ม,Pakketten zitten vol met munten en vaardigheden.,पैक्स में कॉइन और स्किल्स भरे होते हैं।,"Paketler, madeni paralar ve becerilerle doludur."
Tutorial.Shop5,Scroll to see more,Geser untuk melihat lebih banyak,向下滚动查看更多,向下滾動查看更多,スクロールしてもっと見る,더 보려면 스크롤하세요,Scorri per vedere di più,Desplázate para ver más.,Faites défiler pour en voir plus,"Scrolle, um mehr zu sehen.",Cuộn để xem thêm,Role para ver mais,Mag-scroll para makita ang iba pa,قم بالتمرير لرؤية المزيد,மேலும் பார்க்க உருட்டவும்,"Прокрутите, чтобы увидеть больше",เลื่อนลงเพื่อดูเพิ่มเติม,Scroll om meer te zien.,और देखने के लिए स्क्रॉल करें,Daha fazla görmek için kaydırın
Tutorial.Shop6,Try to buy coins,Coba beli koin,尝试购买硬币,嘗試購買硬幣,コインを購入してみよう,코인 구매 시도,Prova ad acquistare monete,Intenta comprar monedas.,Essayez d'acheter des pièces,"Versuche, Münzen zu kaufen.",Thử mua xu,Tente comprar moedas,Subukang bumili ng mga barya,حاول شراء عملات معدنية,நாணயங்களை வாங்க முயற்சிக்கவும்,Попробуйте купить монеты,ลองซื้อเหรียญดู,Probeer munten te kopen.,कॉइन खरीदकर देखें,Madeni para almaya çalışın
Tutorial.Shop7,Purchase complete your coins have increased,"Pembelian selesai, koin Anda telah bertambah",购买完成，你的硬币已增加。,購買完成，你的硬幣已增加。,購入が完了しました。コインが増えました。,"구매 완료, 코인이 증가했습니다",Acquisto completato! Le tue monete sono aumentate,"Compra completada, tus monedas han aumentado.","Achat terminé, vos pièces ont augmenté","Der Kauf ist abgeschlossen, deine Münzen haben sich erhöht.","Mua thành công, số xu của bạn đã tăng lên.","Compra concluída, suas moedas aumentaram","Kumpleto na ang iyong pagbili, nadagdagan na ang iyong mga barya.",شراء كامل عملاتك المعدنية,நாணயங்களை வாங்க முயற்சிக்கவும்,"Покупка завершена, ваши монеты увеличены",ซื้อเสร็จสิ้น เหรียญของคุณเพิ่มขึ้นแล้ว,"Aankoop voltooid, je munten zijn toegenomen.",खरीदारी सफल! आपके कॉइन बढ़ गए हैं।,"Satın alma tamamlandı, madeni paralarınız arttı"
Tutorial.Shop8,Spend coins and diamonds on skins or skills.,Gunakan koin dan berlian untuk membeli kostum atau skill.,使用硬币和宝石购买酷的皮肤或能力。,使用硬幣和寶石購買酷的皮膚或能力。,コインやダイヤを使って、かっこいいスキンやスキルを手に入れよう,코인과 다이아몬드로 스킨이나 스킬을 구매하세요.,Usa monete e diamanti per acquistare skin o abilità.,Gasta monedas y diamantes en aspectos o habilidades.,Dépensez des pièces et des diamants pour des skins ou des compétences.,Gib Münzen und Diamanten für Skins oder Fähigkeiten aus.,Dùng xu và kim cương để mua skin ngầu hoặc kỹ năng mới.,Gaste moedas e diamantes em skins ou habilidades.,Gumastos ng mga barya at diyamante para sa mga skin o kasanayan.,أنفق العملات المعدنية والماس على الجلود أو المهارات.,"கடை மெனு: நாணயங்கள், வைரங்கள் அல்லது கூல் பேக்குகளைப் பெறுங்கள்.",Тратьте монеты и алмазы на скины или способности.,ใช้เหรียญและเพชรซื้อสกินหรือทักษะ,Besteed munten en diamanten aan skins of vaardigheden.,कॉइन और डायमंड को स्किन्स या स्किल्स पर खर्च करें।,Madeni paralarınızı ve elmaslarınızı ciltler veya beceriler için harcayın.
Tutorial.SkinShop1,Skin Shop is ready!,Toko Kostum sudah siap!,皮肤商店开张啦！,皮膚商店開張啦！,スキンショップ解禁！,스킨 샵이 준비되었습니다!,Il Negozio Skins è pronto!,¡La tienda de skins está lista!,La boutique de skins est prête !,Der Skin-Shop ist bereit!,Cửa Hàng Skin đã sẵn sàng!,A Loja de Peles está pronta!,Handa na ang Skin Shop!,متجر الأشكال الجلدية جاهز!,பொதிகளில் நிறைய நாணயங்கள் மற்றும் திறன்கள் உள்ளன. காவிய நகர்வுகளுக்கான உங்கள் குறுக்குவழி!,Магазин скинов готов!,ร้านสกินช็อปพร้อมแล้ว!,Skinwinkel is klaar!,स्किन शॉप तैयार है!,Skin Mağazası hazır!
Tutorial.SkinShop2,Customize with cool items.,Sesuaikan dengan item keren.,用酷的东西装扮,用酷的東西裝扮,カッコいいアイテムでカスタマイズしよう！,멋진 아이템으로 커스터마이징하세요.,Personalizza con oggetti fantastici.,Personaliza con artículos geniales.,Personnalisez avec des objets cool.,Passe dein Spiel mit coolen Gegenständen an.,Tùy chỉnh với những vật phẩm cực ngầu.,Personalize com itens fantásticos.,"I-customize gamit ang mga cool na bagay. Maghanap ng mga background 
para baguhin ang hitsura at pakiramdam ng iyong laro.",قم بالتخصيص باستخدام عناصر رائعة.,"ஆஹா! பொருள் கடை திறந்திருக்கிறது!
உங்கள் விளையாட்டை மேலும் தனித்துவமாக்க தயாரா? இந்த அற்புதமான பொருட்களைப் பாருங்கள்.",Настройте с помощью классных предметов.,ปรับแต่งด้วยไอเท็มเจ๋งๆ,Pas aan met coole items.,शानदार आइटम्स से कस्टमाइज़ करें।,Cool eşyalarla özelleştirin.
Tutorial.SkinShop3,Select an avatar to display on your profile.,Pilih avatar untuk ditampilkan di profil Anda.,请选择您想在个人资料中显示的头像。,請選擇您想在個人資料中顯示的頭像,最初のページで、プロフィールスタイルを表示するためのアバターを選んでください,프로필에 표시할 아바타를 선택하세요.,"Nella prima pagina, seleziona un avatar per mostrare il tuo stile del profilo",Selecciona un avatar para mostrar en tu perfil.,Sélectionnez un avatar à afficher sur votre profil.,"Wähle einen Avatar aus, der in deinem Profil angezeigt werden soll.","Ở trang đầu, chọn avatar để hiển thị phong cách hồ sơ của bạn",Selecione um avatar para exibir no seu perfil.,Pumili ng avatar para ipakita ang iyong profile.,حدد صورة رمزية لعرضها في ملفك الشخصي.,"முகப்புப் பக்கத்தில், உங்கள் சுயவிவரத்தை வடிவமைக்க ஒரு அவதாரத்தைத் தேர்வு செய்யவும்.",Выберите аватар для отображения в вашем профиле.,เลือกอวาตาร์ที่จะแสดงในโปรไฟล์ของคุณ,Selecteer een avatar om op je profiel weer te geven.,अपनी प्रोफ़ाइल पर दिखाने के लिए एक अवतार चुनें।,Profilinizde görüntülemek için bir avatar seçin.
Tutorial.SkinShop4,Find backgrounds to change your game’s look and mood.,Temukan latar belakang untuk mengubah tampilan game dan suasana permainan Anda.,寻找背景来改变游戏的外观和氛围。,尋找背景來改變遊戲的外觀和氛圍。,背景を見つけて、ゲームの見た目と雰囲気を変えよう！,게임의 분위기와 느낌을 바꿀 배경을 찾아보세요.,Trova sfondi per cambiare l’aspetto e l’atmosfera del tuo gioco.,Encuentra fondos para cambiar el aspecto y el ambiente de tu juego.,Trouvez des arrière-plans pour changer l'apparence et l'ambiance de votre jeu.,"Finde Hintergründe, um das Aussehen und die Stimmung deines Spiels zu verändern.",Tìm hình nền để thay đổi diện mạo và không khí trong game.,Encontre fundos para alterar a aparência e o ambiente do seu jogo.,"Maghanap ng mga background para baguhin ang hitsura at pakiramdam 
ng iyong laro.",ابحث عن خلفيات لتغيير مظهر اللعبة وأجوائها.,விளையாட்டின் தோற்றத்தையும் உணர்வையும் மாற்ற பின்னணிகளைக் கண்டறியவும்.,"Найдите фоны, чтобы изменить внешний вид и атмосферу игры.",หาพื้นหลังเพื่อเปลี่ยนรูปลักษณ์และอารมณ์ของเกมของคุณ,Vind achtergronden om de uitstraling en sfeer van je spel te veranderen.,गेम की लुक और मूड बदलने के लिए नए बैकग्राउंड चुनें।,Oyununuzun görünümünü ve atmosferini değiştirmek için arka planlar bulun.
Tutorial.SkinShop5,Equipped! Now try checking the Board.,Sudah siap! Sekarang coba periksa Papan Permainan,已装备！现在试着查看板子,已裝備！現在試著查看板子,装備完了！さあ、ボードを確認してみよう。,장착 완료! 이제 보드를 확인해 보세요.,Equipaggiato! Ora prova a controllare il Tabellone.,¡Equipado! Ahora prueba a comprobar la tabla.,Équipé ! Maintenant essayez de vérifier le tableau.,"Ausgerüstet! Versuche nun, das Board zu überprüfen.",Đã trang bị! Giờ hãy thử kiểm tra Bảng.,Equipado! Agora tente verificar a Prancha.,"Gamit na! Ngayon, subukan mong tingnan ang tornilyo.",جاهز! الآن جرب التحقق من اللوحة.,அணிவிக்கப்பட்டது! இப்போது பலகையைச் சரிபார்த்து பார்க்கவும்.,Оборудовано! Теперь попробуйте проверить доску.,พร้อมแล้ว! ตอนนี้ลองตรวจสอบกระดานดู,Uitrusting voltooid! Probeer nu het bord te bekijken.,इक्विप्ड! अब बोर्ड चेक करके देखें।,Ekipman! Şimdi tahtayı kontrol etmeyi deneyin.
Tutorial.SkinShop6,Add carvings and board decorations.,Tambahkan ukiran dan hiasan papan permainan.,添加雕刻和板子装饰,添加雕刻和板子裝飾,彫刻＆装飾でボードを華やかに！,조각과 보드 장식을 추가하세요.,Aggiungi incisioni e decorazioni alla tavola.,Añade grabados y decoraciones para la tabla.,Ajoutez des gravures et des décorations de tableau.,Füge Schnitzereien und Board-Dekorationen hinzu.,Thêm hoa văn và trang trí bàn chơi.,Adicione entalhes e decorações à prancha.,Magdagdag ng mga ukit at dekorasyon sa tabla.,أضف منحوتات وزخارف للوحة.,உங்கள் பலகையைத் தனிப்பயனாக்க தனித்துவமான செதுக்கல்கள் மற்றும் அலங்காரங்களைத் தேர்வு செய்யவும்.,Добавьте гравировки и украшения для доски.,เพิ่มงานแกะสลักและตกแต่งกระดาน,Voeg gravures en borddecoraties toe.,बोर्ड पर नक्काशी और सजावट जोड़ें।,Oymalar ve tahtayı süslemeler ekleyin.
Tutorial.SkinShop7,Equipped! Now try checking the screw,Sudah siap! Sekarang coba periksa sekrup,已装备！现在试着检查螺丝。,已裝備！現在試著檢查螺絲。,装備完了！さあ、螺子を確認してみよう。,장착 완료! 이제 나사를 확인해 보세요.,Equipaggiato! Ora prova a controllare la vite.,¡Equipado! Ahora prueba a comprobar el tornillo.,Équipé ! Maintenant essayez de vérifier la vis,"Ausgerüstet! Versuche nun, die Schraube zu überprüfen.",Đã trang bị! Giờ hãy thử kiểm tra con ốc.,Equipado! Agora tente verificar o parafuso.,"Gamit na! Ngayon, subukan mong tingnan ang tornilyo.",جاهز! الآن جرب التحقق من المسمار,அணிவிக்கப்பட்டது! இப்போது திருகைச் சரிபார்த்து பார்க்கவும்.,Оборудовано! Теперь попробуйте проверить винт,พร้อมแล้ว! ตอนนี้ลองตรวจสอบสกรูดู,Uitrusting voltooid! Probeer nu de schroef te bekijken.,इक्विप्ड! अब पेंच चेक करके देखें।,Ekipman! Şimdi vidayı kontrol etmeyi deneyin
Tutorial.SkinShop8,Try screw skins for a fun twist!,Coba pakai kostum sekrup untuk sentuhan seru!,试试螺丝皮肤，增添趣味,試試螺絲皮膚，增添趣味,螺子スキンを試して、もっと楽しくしよう！,재미있는 변주를 위해 나사 스킨을 시도해 보세요!,Prova le skin delle viti per un tocco divertente!,¡Prueba las skins para tornillos y dale un toque divertido!,Essayez les skins de vis pour un effet amusant !,"Probiere Schraubenskins aus, um für Abwechslung zu sorgen!",Thử skin Vặn Ốc để thêm phần thú vị!,Experimente peles de parafuso para dar um toque divertido!,Subukan ang mga balat ng tornilyo para sa masayang pagbabago!,جرب أغطية المسمار لإضافة لمسة ممتعة!,புதிய தோற்றத்திற்கு ஸ்க்ரீன் ஸ்க்ரூ ஸ்கின்கள்!,Попробуйте скины для винтов для веселого поворота!,ลองสกรูสกินเพื่อเพิ่มความสนุกสนาน!,Probeer schroefskins voor een leuke twist!,मज़ेदार ट्विस्ट के लिए स्क्रू स्किन्स आज़माएँ!,Eğlenceli bir dokunuş için vida ciltlerini deneyin!
Tutorial.DailyReward1,Rewards ready. Tap to claim!,Hadiah sudah siap. Ketuk untuk klaim!,你的奖励来喽，点一下就能拿～,"你的獎勵來囉, 點一下就能拿～",報酬の準備ができたよ。タップして受け取ろう！,보상이 준비되었습니다. 탭하여 수령하세요!,Ricompense pronte. Tocca per riscuotere!,Recompensas listas. ¡Toca para reclamarlas!,Récompenses prêtes. Appuyez pour réclamer !,"Belohnungen bereit. Tippe, um sie einzulösen!",Phần thưởng đã sẵn sàng. Chạm để nhận!,Recompensas prontas. Toque para resgatar!,Handa na ang mga gantimpala. Pindutin para makuha!,المكافآت جاهزة. انقر للحصول عليها!,வெகுமதிகள் தயாராக உள்ளன! குறிக்கப்பட்ட நாளைத் தட்டி அவற்றைப் பெறுங்கள்!,"Награды готовы. Нажмите, чтобы получить!",รางวัลพร้อมแล้ว แตะเพื่อรับ!,Beloningen klaar. Tik om te innen!,इनाम तैयार है। प्राप्त करने के लिए टैप करें!,Ödüller hazır. Talep etmek için dokunun!
Tutorial.DailyReward2,Tap to claim!,Ketuk untuk klaim!,点击领取,點擊領取,タップして受け取ろう！,탭하여 수령하세요!,Tocca per riscuotere!,¡Toca para reclamarlas!,Appuyez pour réclamer !,"Tippe, um sie einzulösen!",Chạm để nhận!,Toque para resgatar!,Pindutin para makuha!,انقر للحصول عليها!,உரிமை கோருவதற்கான நேரம் இது! உங்கள் வெகுமதியைப் பெற ஹைலைட் செய்யப்பட்ட நாளைத் தட்டவும்!,"Нажмите, чтобы получить!",แตะเพื่อรับ!,Tik om te innen!,इनाम पाने के लिए टैप करें!,Talep etmek için dokunun!
Tutorial.Lightning1,Skill Lightning. Remove 2 random planks.,Skill PETIR. Hapus 2 plank acak.,闪电能力.清除两块随机木板,閃電能力 移除兩個隨機木板,スキル「ライトニング」：ランダムな板を2枚消す。,스킬 라이트닝. 무작위 널빤지 2개를 제거합니다.,Abilità Fulmine. Rimuove 2 assi casuali.,Habilidad Rayo. Elimina 2 tablones aleatorios.,Compétence Éclair. Enlevez 2 planches au hasard.,Fähigkeit „Blitz“. Entferne 2 zufällige Bretter.,Kỹ năng Sét: Xóa 2 tấm ngẫu nhiên.,Habilidade Relâmpago. Remova 2 tábuas aleatórias.,Kasanayang Kidlat. Alisin ang 2 random na tabla.,مهارة Lightning. قم بإزالة لوحين عشوائيين.,ஜாப்! இரண்டு சீரற்ற பலகைகள் பலகையிலிருந்து மறைந்துவிடும்.,Способность Молния. Удалите 2 случайные доски.,ทักษะสายฟ้า เอาแผ่นไม้สุ่มออก 2 แผ่น,Vaardigheid Bliksem. Verwijder 2 willekeurige planken.,स्किल: लाइटनिंग। 2 रैंडम तख्ते हटाएँ।,Yıldırım Becerisi. 2 rastgele tahtayı kaldırın.
Tutorial.Lightning2,Try to make one move ,Coba lakukan satu gerakan,试试玩一步,試著玩一步,一手動かしてみよう！,한 번의 이동으로 해결해보세요,Prova a fare una mossa.,Intenta hacer un movimiento.,Essayez de faire un mouvement,"Versuche, einen Zug zu machen.",Hãy thử thực hiện một nước đi,Tente fazer um movimento.,Subukang gumawa ng isang galaw.,حاول القيام بحركة واحدة.,மின்னல் திறனைப் பயன்படுத்த வேண்டிய நேரம் இது!,Попробуйте сделать один ход,พยายามทำหนึ่งครั้ง,Probeer één zet te doen,एक चाल चलकर देखें,Bir hamle yapmayı deneyin
